Source,Target,Weight
NED,ROBERT,192
DAENERYS,JORAH,154
JON,SAM,121
LITTLEFINGER,NED,107
NED,VARYS,96
DAENERYS,DROGO,91
ARYA,NED,90
CATELYN,ROBB,90
BRONN,TYRION,86
CERSEI,NED,86
CERSEI,ROBERT,80
LITTLEFINGER,VARYS,73
SHAE,TYRION,73
CATELYN,NED,69
JOFFREY,SANSA,69
NED,PYCELLE,68
DAENERYS,VISERYS,66
TYRION,TYWIN,61
JEOR,JON,60
ROBB,THEON,60
CERSEI,JOFFREY,54
ARYA,SANSA,53
BRAN,MAESTER_LUWIN,53
JAIME,NED,53
NED,SANSA,49
BRAN,ROBB,48
LORAS,RENLY,47
CERSEI,JAIME,46
JON,TYRION,45
ARYA,SYRIO_FOREL,44
JORY_CASSEL,NED,44
JORAH,VISERYS,43
CATELYN,TYRION,41
ROS,THEON,40
JOFFREY,NED,39
CERSEI,SANSA,36
CATELYN,WALDER,34
DAENERYS,DOREAH,34
JAIME,TYRION,34
JAIME,TYWIN,34
BENJEN,JON,33
DAENERYS,IRRI,32
GREATJON_UMBER,ROBB,31
MORD,TYRION,31
CATELYN,LYSA,30
DOREAH,VISERYS,30
JORAH,RAKHARO,30
LYSA,ROBIN,30
LYSA,TYRION,30
NED,RENLY,30
RENLY,ROBERT,30
BRAN,NED,29
BRAN,OSHA,29
JON,NED,29
BRAN,CATELYN,28
CATELYN,JAIME,28
CATELYN,RODRIK,28
DAENERYS,QOTHO,28
JOFFREY,ROBERT,28
JON,MAESTER_AEMON,28
DROGO,VISERYS,27
JAIME,JORY_CASSEL,27
BRAN,THEON,26
CATELYN,LITTLEFINGER,26
CATELYN,MAESTER_LUWIN,26
BARRISTAN,NED,25
ILLYRIO,VISERYS,25
JON,ROBB,25
OSHA,THEON,25
ARYA,JOFFREY,24
GRENN,JON,24
NED,ROBB,23
BARRISTAN,ROBERT,22
CATELYN,CERSEI,22
LITTLEFINGER,SANSA,22
SHAGGA,TYRION,22
ARYA,JON,20
DROGO,JORAH,20
JAIME,ROBERT,20
BRAN,JON,19
HOUND,SANSA,19
LITTLEFINGER,PYCELLE,19
LITTLEFINGER,ROS,19
THEON,TYRION,19
CERSEI,TYRION,18
BENJEN,TYRION,17
DAENERYS,RAKHARO,17
JEOR,SAM,17
LITTLEFINGER,RENLY,17
MAESTER_LUWIN,ROBB,17
ROBERT,SANSA,17
ROS,TYRION,17
CATELYN,THEON,16
GRENN,SAM,16
HOUND,JOFFREY,16
ROBB,TYRION,16
BRAN,TYRION,15
CATELYN,ROBERT,15
JEOR,TYRION,15
JOFFREY,TYRION,15
JOFFREY,VARYS,15
LANCEL,ROBERT,15
PYCELLE,VARYS,15
BENJEN,NED,14
BRAN,RICKON,14
CATELYN,JON,14
CATELYN,SANSA,14
JOFFREY,MARILLION,14
KEVAN,TYRION,14
LITTLEFINGER,ROBERT,14
BARRISTAN,CERSEI,13
CATELYN,VARDIS_EGEN,13
CERSEI,VARYS,13
DAENERYS,RHAEGO,13
JANOS,NED,13
JOFFREY,PYCELLE,13
MAESTER_LUWIN,THEON,13
NED,THEON,13
PYCELLE,SANSA,13
GENDRY,NED,12
HOT_PIE,LOMMY_GREENHANDS,12
JOFFREY,LITTLEFINGER,12
JOFFREY,MERYN_TRANT,12
JOFFREY,ROBB,12
JON_ARRYN,NED,12
KEVAN,TYWIN,12
MAESTER_LUWIN,OSHA,12
BRAN,HODOR,11
BRONN,SHAE,11
CATELYN,GREATJON_UMBER,11
CATELYN,VARYS,11
GREATJON_UMBER,THEON,11
IRRI,RAKHARO,11
MERYN_TRANT,SYRIO_FOREL,11
NED,TYRION,11
NED,TYWIN,11
PYCELLE,ROBERT,11
RENLY,STANNIS,11
ROBB,RODRIK,11
ROBERT,VARYS,11
ARYA,ROBERT,10
CATELYN,ROBIN,10
DAENERYS,ILLYRIO,10
DROGO,MAGO,10
HOUND,NED,10
HOUND,TYRION,10
JAIME,JON,10
JAIME,ROBB,10
JOFFREY,MYCAH,10
MERYN_TRANT,SANSA,10
NED,RODRIK,10
NED,STANNIS,10
NED,TOBHO_MOTT,10
ARYA,CERSEI,9
BRAN,JAIME,9
BRAN,OLD_NAN,9
CERSEI,PYCELLE,9
ILLYRIO,VARYS,9
IRRI,JORAH,9
JEOR,MAESTER_AEMON,9
MHAEGEN,NED,9
PYCELLE,ROS,9
RENLY,VARYS,9
ROBB,SANSA,9
ROBIN,TYRION,9
RODRIK,TYRION,9
VARDIS_EGEN,TYRION,9
AERYS,NED,8
CERSEI,LITTLEFINGER,8
CERSEI,ROBB,8
DAENERYS,MAGO,8
HOUND,MERYN_TRANT,8
OSHA,ROBB,8
PYCELLE,RENLY,8
ROBERT,TYWIN,8
RODRIK,THEON,8
SANSA,VARYS,8
AERYS,ROBERT,7
ARYA,CATELYN,7
ARYA,GENDRY,7
ARYA,HOUND,7
ARYA,JORY_CASSEL,7
ARYA,VARYS,7
BRAN,ROBERT,7
BRONN,CATELYN,7
GREATJON_UMBER,RODRIK,7
JON,RAST,7
JON,THEON,7
JON_ARRYN,ROBERT,7
JORY_CASSEL,LITTLEFINGER,7
LYSA,VARDIS_EGEN,7
MAESTER_AEMON,TYRION,7
MAESTER_LUWIN,TYRION,7
ROBERT,TYRION,7
ROBERT,VISERYS,7
ARYA,ROBB,6
BARRISTAN,VARYS,6
BRONN,RODRIK,6
DROGO,ILLYRIO,6
DROGO,QOTHO,6
DROGO,RHAEGO,6
GRENN,RAST,6
GRENN,TYRION,6
HOUND,ROBERT,6
JAIME,JOFFREY,6
JEOR,OTHOR,6
LITTLEFINGER,MOUNTAIN,6
LITTLEFINGER,TYRION,6
