Source,Target,Weight
ARYA,HOUND,162
JAIME,TYRION,147
CERSEI,JAIME,131
DAENERYS,JORAH,106
CERSEI,TYWIN,104
LITTLEFINGER,SANSA,96
TYRION,TYWIN,94
JON,SAM,89
LYSA,SANSA,88
BRONN,TYRION,86
JAIME,TYWIN,83
PODRICK,TYRION,80
GILLY,SAM,79
OBERYN,TYWIN,79
BRIENNE,PODRICK,78
OBERYN,TYRION,78
SHAE,TYRION,78
ALLISER_THORNE,JON,68
JOFFREY,TYRION,64
DAENERYS,MISSANDEI,63
RAMSAY,THEON,63
CERSEI,OBERYN,57
LITTLEFINGER,LYSA,55
DAARIO,DAENERYS,54
GRENN,JON,52
DAVOS,STANNIS,51
GREY_WORM,MISSANDEI,50
JON,MANCE,50
ELLARIA,OBERYN,48
BRAN,MEERA,47
MARGAERY,OLENNA,46
SANSA,TYRION,46
ROBIN,SANSA,45
BRAN,HODOR,44
JOJEN,MEERA,44
CERSEI,JOFFREY,43
CERSEI,TYRION,43
TOMMEN,TYWIN,43
BRAN,JOJEN,42
EDDISON_TOLLETT,JON,41
BRIENNE,JAIME,40
JANOS,JON,39
RAMSAY,ROOSE_BOLTON,39
CERSEI,MARGAERY,38
ARYA,BRIENNE,36
JOFFREY,MARGAERY,36
MELISANDRE,SELYSE,36
JON,TORMUND,35
BARRISTAN,JORAH,34
OBERYN,VARYS,34
BARRISTAN,DAENERYS,32
EDDISON_TOLLETT,GRENN,31
JAIME,JOFFREY,31
DONTOS,SANSA,30
JOFFREY,TYWIN,30
LITTLEFINGER,YOHN_ROYCE,30
BRONN,JAIME,29
HOUND,POLLIVER,29
MARGAERY,TOMMEN,29
CERSEI,PYCELLE,28
DAVOS,SHIREEN,27
TYRION,VARYS,27
ALLISER_THORNE,JANOS,26
DAENERYS,GREY_WORM,26
MAESTER_AEMON,SAM,26
CERSEI,TOMMEN,25
JOFFREY,SANSA,25
DAENERYS,HIZDAHR,24
MELISANDRE,SHIREEN,24
BRIENNE,HOT_PIE,23
BRIENNE,HOUND,22
ANYA_WAYNWOOD,LITTLEFINGER,21
HODOR,JOJEN,21
JON,LOCKE,21
LITTLEFINGER,ROBIN,21
MACE,TYWIN,21
OBERYN,OLYVAR,21
SELYSE,STANNIS,21
HODOR,MEERA,20
STYR,TORMUND,20
THEON,YARA,20
ARYA,POLLIVER,19
CERSEI,QYBURN,18
DAVOS,TYCHO,18
ELLARIA,OLYVAR,18
MORGAN,OBERYN,18
MOUNTAIN,OBERYN,18
RALF,THEON,18
SHAE,TYWIN,18
TYWIN,VARYS,18
ARYA,TERNESIO_TERYS,17
KARL_TANNER,MEERA,17
LYSA,ROBIN,17
MYRANDA,RAMSAY,17
SANSA,SHAE,17
STANNIS,TYCHO,17
CERSEI,VARYS,16
GRENN,SAM,16
PYCELLE,TYWIN,16
DAENERYS,FENNESZ,15
RAMSAY,TANSY,15
SANSA,YOHN_ROYCE,15
BRAN,JON,14
BRIENNE,CERSEI,14
DAARIO,GREY_WORM,14
DAVOS,SALLADHOR,14
GRENN,LOCKE,14
JAIME,LORAS,14
JOJEN,KARL_TANNER,14
JON,OLLY,14
MACE,OBERYN,14
MACE,TYRION,14
OLENNA,TYWIN,14
ROOSE_BOLTON,THEON,14
ALLISER_THORNE,GRENN,13
BARRISTAN,MISSANDEI,13
BRAN,LOCKE,13
CERSEI,MACE,13
CERSEI,MOUNTAIN,13
GRENN,JANOS,13
JAIME,PODRICK,13
JAIME,TOMMEN,13
JOFFREY,TOMMEN,13
KARL_TANNER,RAST,13
BRIENNE,MARGAERY,12
JAIME,OBERYN,12
JON,STANNIS,12
MANCE,STANNIS,12
PYCELLE,QYBURN,12
TOMMEN,TYRION,12
ALLISER_THORNE,MAESTER_AEMON,11
ANYA_WAYNWOOD,SANSA,11
BARRISTAN,GREY_WORM,11
CATELYN,LYSA,11
DONTOS,LITTLEFINGER,11
ELLARIA,TYRION,11
JAIME,MARGAERY,11
JON,KARL_TANNER,11
JORAH,MISSANDEI,11
ANYA_WAYNWOOD,YOHN_ROYCE,10
DAARIO,JORAH,10
KARL_TANNER,SISSY,10
OLLY,STYR,10
ALLISER_THORNE,SAM,9
BRONN,PODRICK,9
CERSEI,SANSA,9
CRASTER,JON,9
DAARIO,MISSANDEI,9
ELLARIA,MAREI,9
ELLARIA,TYWIN,9
GREY_WORM,JORAH,9
JAIME,SANSA,9
JANOS,SAM,9
JOFFREY,MACE,9
JOFFREY,OLENNA,9
JON,MAESTER_AEMON,9
BRONN,OBERYN,8
DONNEL_HILL,GRENN,8
EDDISON_TOLLETT,JANOS,8
EDDISON_TOLLETT,SAM,8
ELLARIA,MORGAN,8
JAIME,MACE,8
JOFFREY,OBERYN,8
JON,MORAG,8
LORAS,MARGAERY,8
MACE,VARYS,8
MARGAERY,TYRION,8
PYCELLE,VARYS,8
SANSA,TYWIN,8
ALLISER_THORNE,LOCKE,7
BARRISTAN,DAARIO,7
BRAN,KARL_TANNER,7
BRAN,LEAF,7
CERSEI,ELLARIA,7
CERSEI,LORAS,7
CERSEI,SHAE,7
CRASTER,EDDISON_TOLLETT,7
DAVOS,JON,7
ENDREW,JAIME,7
GUYMON,OLLY,7
HODOR,LOCKE,7
JOFFREY,LITTLEFINGER,7
JOFFREY,SHAE,7
JON,SISSY,7
LORAS,TOMMEN,7
MACE,MARGAERY,7
MACE,TOMMEN,7
MAREI,OBERYN,7
MELISANDRE,STANNIS,7
NED,SANSA,7
OBERYN,PYCELLE,7
OBERYN,SHAE,7
OLLY,SAM,7
RAMSAY,YARA,7
SHIREEN,STANNIS,7
ARYA,SALLY,6
BALON,THEON,6
BRIENNE,CATELYN,6
BRIENNE,JOFFREY,6
BRIENNE,SANSA,6
CATELYN,SANSA,6
CERSEI,DONTOS,6
CERSEI,MYRCELLA,6
DAVOS,MANCE,6
DAVOS,SELYSE,6
DONTOS,JOFFREY,6
GOATHERD,MISSANDEI,6
GRENN,OLLY,6
HOUND,JOFFREY,6
HOUND,LYSA,6
HOUND,RORGE,6
HOUND,SALLY,6
JAIME,VARYS,6
JON,STYR,6
JON_ARRYN,LYSA,6
LORAS,TYWIN,6
MAREI,OLYVAR,6
MARGAERY,SANSA,6
MARGAERY,TYWIN,6
MERYN_TRANT,TYRION,6
MORGAN,OLYVAR,6
MOUNTAIN,PYCELLE,6
MOUNTAIN,QYBURN,6
MOUNTAIN,TYWIN,6
MYRANDA,TANSY,6
OBERYN,TOMMEN,6
PYCELLE,TYRION,6
SAM,TORMUND,6
TANSY,THEON,6
ALLISER_THORNE,EDDISON_TOLLETT,5
ALLISER_THORNE,TORMUND,5
BRIENNE,OLENNA,5
BRIENNE,TYRION,5
CATELYN,LITTLEFINGER,5
CRASTER,KARL_TANNER,5
CRASTER,RAST,5
DAENERYS,GOATHERD,5
DAVOS,MELISANDRE,5
DONTOS,TYRION,5
EDDISON_TOLLETT,LOCKE,5
EDDISON_TOLLETT,MORAG,5
ENDREW,JOFFREY,5
GRENN,MORAG,5
HOT_PIE,PODRICK,5
HOUND,PODRICK,5
JAIME,QYBURN,5
JAIME,SHAE,5
JANOS,OLLY,5
JOFFREY,PODRICK,5
JOFFREY,POLLIVER,5
JOFFREY,PYCELLE,5
JON,NED,5
LHARA,SALLADHOR,5
LYSA,TYRION,5
MACE,PYCELLE,5
MACE,SANSA,5
MACE,SHAE,5
MARGAERY,OBERYN,5
MOUNTAIN,TYRION,5
OBERYN,PODRICK,5
OLENNA,TYRION,5
RAMSAY,WALDA,5
ROOSE_BOLTON,WALDA,5
SELYSE,SHIREEN,5
ADRACK_HUMBLE,THEON,4
AERYS,JAIME,4
AERYS,ROBERT,4
ARYA,RORGE,4
AXELL_FLORENT,MELISANDRE,4
AXELL_FLORENT,SELYSE,4
BRAN,CRASTER,4
BRAN,RAST,4
BRONN,MORGAN,4
CATELYN,CERSEI,4
CATELYN,NED,4
CATELYN,ROBB,4
COOPER,GRENN,4
CRASTER,GRENN,4
CRASTER,LOCKE,4
CRASTER,MORAG,4
CRASTER,SISSY,4
EDDISON_TOLLETT,SISSY,4
ELLARIA,JAIME,4
ELLARIA,MOUNTAIN,4
ELLARIA,PODRICK,4
GILLY,JANOS,4
GILLY,STYR,4
GRENN,SISSY,4
JANOS,MAESTER_AEMON,4
JOFFREY,NED,4
JON_ARRYN,LITTLEFINGER,4
